0 9561 [(100.0, 'black'), (0.0, 'yellow'), (0.0, 'white'), (0.0, 'wheat'), (0.0, 'violet')]
9561 18595 [(98.41313411625912, 'black'), (1.5540875697125696, 'dimgrey'), (0.02622600278850279, 'saddlebrown'), (0.00475922350922351, 'grey'), (0.0017092985842985843, 'darkolivegreen')]
18595 177448 [(100.0, 'black'), (0.0, 'yellow'), (0.0, 'white'), (0.0, 'wheat'), (0.0, 'violet')]
177448 180408 [(26.83677539146289, 'grey'), (22.372372372372375, 'black'), (19.99649761368511, 'saddlebrown'), (11.570795125482626, 'dimgrey'), (11.418097785285285, 'darkred')]
180408 184079 [(26.92017910767911, 'dimgrey'), (25.462683665808665, 'grey'), (22.51116071428571, 'saddlebrown'), (12.693988631488631, 'darkkhaki'), (8.55785472972973, 'black')]
184079 186039 [(43.05884009009009, 'dimgrey'), (22.015095452595453, 'grey'), (19.84428625053625, 'saddlebrown'), (6.265986969111969, 'darkolivegreen'), (4.905251233376234, 'darkkhaki')]
186039 188667 [(22.779436802874304, 'black'), (19.478865025740024, 'saddlebrown'), (18.8769237987988, 'dimgrey'), (15.17408033033033, 'grey'), (14.282496782496782, 'darkred')]
188667 192504 [(23.8260973026598, 'black'), (17.141281906906908, 'grey'), (15.016506461818963, 'saddlebrown'), (13.816914012226512, 'dimgrey'), (12.125479273916774, 'darkred')]
192504 197217 [(51.004648621836125, 'black'), (21.568683638996138, 'saddlebrown'), (8.9519486003861, 'dimgrey'), (8.71078667953668, 'grey'), (4.444109287859288, 'darkred')]
197217 198969 [(51.575185676748184, 'black'), (15.447685408622908, 'dimgrey'), (15.200256059631059, 'saddlebrown'), (8.259615642428141, 'grey'), (2.5684054590304592, 'silver')]
198969 200679 [(48.827840116902614, 'black'), (15.21708092020592, 'dimgrey'), (12.575678356928357, 'saddlebrown'), (10.374068264693264, 'darkred'), (9.86838400900901, 'grey')]
200679 209897 [(36.78963561776062, 'black'), (18.259213454525955, 'saddlebrown'), (17.21868632024882, 'dimgrey'), (10.374554241741741, 'grey'), (7.980044776919777, 'darkolivegreen')]
209897 211106 [(76.85872814779064, 'black'), (8.867153984341485, 'saddlebrown'), (6.598344996782497, 'dimgrey'), (3.1935227638352637, 'grey'), (2.3932526276276276, 'darkred')]
211106 221825 [(44.01303088803089, 'black'), (23.42654037966538, 'saddlebrown'), (21.131371326683826, 'dimgrey'), (5.284061963749464, 'darkred'), (3.4820087945087943, 'grey')]
221825 225704 [(60.56633083976835, 'black'), (21.236225064350066, 'saddlebrown'), (8.130127895752896, 'dimgrey'), (4.406739328614329, 'grey'), (1.6166445463320462, 'darkkhaki')]
225704 227363 [(70.86916157228657, 'black'), (9.699884035821537, 'saddlebrown'), (8.645062473187473, 'dimgrey'), (4.745415057915058, 'grey'), (3.328406531531532, 'silver')]
227363 229211 [(52.47296962140712, 'black'), (14.313817165379666, 'saddlebrown'), (12.337817728442728, 'dimgrey'), (5.573938894251394, 'grey'), (4.0116399882024885, 'darkkhaki')]
229211 231787 [(52.23509223509224, 'black'), (20.59480239167739, 'dimgrey'), (14.1339888996139, 'saddlebrown'), (3.5936494530244527, 'grey'), (2.392113095238095, 'silver')]
231787 233845 [(57.206386073573576, 'black'), (20.487032791720292, 'saddlebrown'), (10.791639854139854, 'dimgrey'), (2.8880945677820677, 'darkkhaki'), (2.622181333118833, 'grey')]
233845 238135 [(53.2536330973831, 'black'), (24.24671881703132, 'saddlebrown'), (9.635735065422566, 'dimgrey'), (6.747456161518661, 'darkred'), (2.1822715572715574, 'grey')]
238135 240303 [(50.62913918382669, 'black'), (22.565707448519948, 'saddlebrown'), (16.38624115186615, 'dimgrey'), (4.797012414199915, 'darkred'), (2.764606123981124, 'grey')]
240303 241722 [(38.94092194873445, 'dimgrey'), (35.71726860789361, 'black'), (14.62504357035607, 'saddlebrown'), (7.491185381810382, 'grey'), (1.3704385188760189, 'darkkhaki')]
241722 255478 [(57.052465411840416, 'black'), (25.55731512762763, 'dimgrey'), (12.905958413770913, 'saddlebrown'), (1.5570201898326899, 'darkred'), (1.3140819390819392, 'grey')]
